name,total_episode,rating,like,watch,cast,category
Because of You,22,7,11,3,"[{'name': 'Lego Lee Fang', 'caracter': 'Zi Hao'}, {'name': 'Megan Lai', 'caracter': 'Yu You Tong'}, {'name': 'Baron Chen', 'caracter': 'Sun Fan'}]","Gençlik,Romantik,Tayvan Dizileri"
49 Days,20,8.4,82,64,"[{'name': 'Jo Hyun-jae', 'caracter': 'Han Kang'}, {'name': 'Bae Soo-bin', 'caracter': 'Kang Min Ho'}, {'name': 'Lee Yo-won', 'caracter': 'Song Yi Kyung / Shin Ji Min'}, {'name': 'Seo Ji-hye', 'caracter': 'Shin In Jung'}, {'name': 'Nam Gyu-ri', 'caracter': 'Shin Ji Hyun'}, {'name': 'Bae Geu-rin', 'caracter': 'Park Seo Woo'}, {'name': 'Kim Yoo-bin', 'caracter': 'young Shin Ji Hyun'}, {'name': 'Moon Hee-kyung', 'caracter': 'Bang Hwa Joon'}, {'name': 'Jo Min Ah', 'caracter': 'young Yi Kyung / young Ji Min'}, {'name': 'Jung Il-woo', 'caracter': 'Scheduler / Song Yi Soo'}]","Dram,Fantastik,Romantik"
The Slave Hunters,24,7.9,46,32,"[{'name': 'Jang Hyuk', 'caracter': 'Lee Dae-gil'}, {'name': 'Oh Ji-ho', 'caracter': 'Song Tae-ha'}, {'name': 'Han Jung-soo', 'caracter': 'General Choi'}, {'name': 'Lee Da-hae', 'caracter': 'Un-nyun / Kim Hye-won'}, {'name': 'Kim Eung-soo', 'caracter': 'Lee Gyeong-sik'}, {'name': 'Danny Ahn', 'caracter': 'Baek-ho'}, {'name': 'Ha-eun Kim', 'caracter': 'Seol-hwa'}, {'name': 'Sung Dong-il', 'caracter': 'Chun Ji-ho'}, {'name': 'Gong Hyung-jin', 'caracter': 'Eop-bok'}, {'name': 'Ahn Suk-hwan', 'caracter': 'Hwabaek Bang'}]","Aksiyon,Dram,Tarih"
Secret Garden,20,8.9,198,150,"[{'name': 'Hyun Bin', 'caracter': 'Kim Joo-won'}, {'name': 'Yoo In-na', 'caracter': 'Im Ah-young'}, {'name': 'Kim Sa-rang', 'caracter': 'Yoon Seul'}, {'name': 'Lee Jong-suk', 'caracter': 'Han Tae-sun'}, {'name': 'Ha Ji-won', 'caracter': 'Gil Ra-im'}, {'name': 'Yoon Sang-hyun', 'caracter': 'Choi Woo-young / Oska'}, {'name': 'Park Joon-geum', 'caracter': 'Moon Boon-hong'}, {'name': 'Yoo Seo-jin', 'caracter': 'Lee Ji-Hyun'}, {'name': 'Lee Philip', 'caracter': 'Im Jong-soo'}]","Dram,Fantastik,Komedi"
A Man Called God,24,6.7,10,9,"[{'name': 'Song Il-gook', 'caracter': 'Michael King/Choi Kang-ta'}, {'name': 'Han Chae-young', 'caracter': 'Jin Bo-bae'}, {'name': 'Jung Dong-Hwan', 'caracter': None}, {'name': 'Yoo In-young', 'caracter': None}, {'name': 'Nam Da-reum', 'caracter': 'Choi Kang-ta (young)'}, {'name': 'Choo Ja-hyun', 'caracter': 'Seo Mi-soo/Choi Kang-hee'}, {'name': 'Lee Bo-hee', 'caracter': 'Han Soo-ra'}, {'name': 'Cho Jin-woong', 'caracter': 'Jang-ho'}]","Dram,Romantik"
Hayate the Combat Butler,13,6.2,4,4,"[{'name': 'Park Shin-hye', 'caracter': 'Xiao Zhi'}, {'name': 'George Hu', 'caracter': 'Ling Qi Sa'}, {'name': 'Qin Yang', 'caracter': 'Debt Collection Group Boss'}, {'name': 'Tia Li', 'caracter': 'Maria'}]","Dram,Romantik,Tayvan Dizileri"
Pasta,20,7.4,22,22,"[{'name': 'Lee Sun-kyun', 'caracter': 'Choi Hyun Wook'}, {'name': 'No Min-woo', 'caracter': 'Philip'}, {'name': 'Alex Chu', 'caracter': 'Kim San'}, {'name': 'Jang Yong', 'caracter': 'Seo Jong Gyu'}, {'name': 'Choi Jae-Hwan', 'caracter': 'Jung Eun Soo'}, {'name': 'Jung Da-hye', 'caracter': 'Park Mi Hee'}, {'name': 'Byeon Jeong-su', 'caracter': 'Kim Kang'}, {'name': 'Gong Hyo-jin', 'caracter': 'Seo Yoo Kyung'}, {'name': 'Lee Ha-nee', 'caracter': 'Oh Sae-young'}, {'name': 'Choi Min-I', 'caracter': 'Nemo'}]","Komedi,Romantik"
P.S Man,21,6.3,17,16,"[{'name': 'Sonia Sui', 'caracter': 'Ma Xiao Qian'}, {'name': 'James Wen', 'caracter': 'Meng Cheng En'}, {'name': 'Bianca Bai', 'caracter': 'Amanda'}, {'name': 'Lan Cheng-lung', 'caracter': 'Xia He Jie'}]","Dram,Komedi,Romantik,Tayvan Dizileri"
My Girlfriend is a Nine-Tailed Fox,16,8.5,119,105,"[{'name': 'Lee Seung-gi', 'caracter': 'Cha Dae-woong'}, {'name': 'Shin Min-A', 'caracter': 'Gu Mi-ho'}, {'name': 'No Min-woo', 'caracter': 'Park Dong-joo'}, {'name': 'Park Soo-jin', 'caracter': 'Eun Hye-in'}, {'name': 'Byun Hee-bong', 'caracter': 'Cha Poong'}, {'name': 'Yoon Yoo-sun', 'caracter': 'Cha Min-sook'}, {'name': 'Sung Dong-il', 'caracter': 'Ban Doo-hong'}, {'name': 'Hyomin', 'caracter': 'Ban Sun-nyeo'}, {'name': 'Kim Ho-chang', 'caracter': 'Kim Byung-soo'}]","Dram,Fantastik,Komedi,Romantik"
Sarayın İncisi,60,8.3,44,33,"[{'name': 'Han Hyo-joo', 'caracter': 'Dong Yi'}, {'name': 'Park Ha-sun', 'caracter': 'Queen Inhyeon'}, {'name': 'Jung Dong-Hwan', 'caracter': 'Oh Tae-suk'}, {'name': 'Ji Jin-hee', 'caracter': 'King Sukjong'}, {'name': 'Lee So-yeon', 'caracter': 'Jang Hee-Bin'}, {'name': 'Bae Soo-bin', 'caracter': 'Cha Jeon-Soo'}, {'name': 'Jung Jin-young', 'caracter': None}, {'name': 'Kim You-jung', 'caracter': 'Dong Yi (young)'}, {'name': 'Lee Kwang-soo', 'caracter': 'Yeong-dal'}, {'name': 'Kim Dong-yoon', 'caracter': 'Shim Woon-taek'}]","Dram,Romantik,Tarih"
Tree With Deep Roots,24,8.1,30,23,"[{'name': 'Choi Woo-shik', 'caracter': 'Jeong Gi-joon / Ga Ri-on (young)'}, {'name': 'Yeo Jin-goo', 'caracter': 'Ddol-bok (teen)'}, {'name': 'Jeon No-min', 'caracter': 'Jeong Do-kwang'}, {'name': 'Ahn Suk-hwan', 'caracter': 'Lee Shin-juk'}, {'name': 'Lee Soo-hyuk', 'caracter': 'Yoon Pyeong'}, {'name': 'Kim Ki-bum', 'caracter': 'Pak Paengnyeon'}, {'name': 'Jo Hee-Bong', 'caracter': 'Han Myung-hoi / Han Ga-nom'}, {'name': 'Han Seok-kyu', 'caracter': 'King Sejong'}, {'name': 'Jang Hyuk', 'caracter': 'Kang Chae-yoon / Ddol-bok'}, {'name': 'Shin Se-kyung', 'caracter': 'So-yi / Dam'}]","Dram,Romantik,Tarih"
City Hunter,20,9.4,249,172,"[{'name': 'Lee Min-ho', 'caracter': 'Lee Yun-seong'}, {'name': 'Park Min-young', 'caracter': 'Nana Kim'}, {'name': 'Lee Jun-hyuk', 'caracter': 'Kim Young-joo'}, {'name': 'Kim Sang-joong', 'caracter': 'Lee Jin-pyo'}, {'name': 'Cheon Ho-jin', 'caracter': 'President Choi Eung-chan'}, {'name': 'Yang Jin-sung', 'caracter': 'Shin Eun-ah'}, {'name': 'Shin Young-jin', 'caracter': 'Kim Mi-ok'}, {'name': 'Kim Sang-ho', 'caracter': 'Bae Man Deok'}, {'name': 'Choi Sung-ho', 'caracter': 'Jang Pil-jae'}, {'name': 'Goo Ha-ra', 'caracter': 'Choi Da-hye'}]","Aksiyon,Dram,Romantik,Suç"
Dream High,32,8.4,85,90,"[{'name': 'Park Jin-young', 'caracter': 'Yang Jin-man'}, {'name': 'Kang So-ra', 'caracter': 'Shin Hae-Seong'}, {'name': 'Jeong Jin-woon', 'caracter': 'Jin Yoo-Jin'}, {'name': 'Park Seo-joon', 'caracter': 'Si-Woo'}, {'name': 'Im Jae-beom', 'caracter': 'Woo-Jae'}, {'name': 'Park Ji-yeon', 'caracter': 'Rian'}, {'name': 'Hyolyn', 'caracter': 'Nana'}, {'name': 'Ailee', 'caracter': 'Ailee'}]","Gençlik,Komedi,Romantik"
Me Too Flower,15,8,18,13,"[{'name': 'Han Go-eun', 'caracter': 'Park Hwa-young'}, {'name': 'Seo Hyo-rim', 'caracter': 'Kim Dal'}, {'name': 'Lee Ji-ah', 'caracter': 'Cha Bong-sun'}, {'name': 'Yoon Shi-yoon', 'caracter': 'Seo Jae-hee'}, {'name': 'Jo Min-ki', 'caracter': 'Park Tae-hwa'}, {'name': 'Lee Gi-kwang', 'caracter': 'Jo Ma-roo'}, {'name': 'Lee Byung-joon', 'caracter': 'Team Leader Kim'}, {'name': 'Jeong Man-sik', 'caracter': 'Kim Do-kyun'}, {'name': 'Ki Joo-bong', 'caracter': 'Dispatch chief'}, {'name': 'Ma Dong-seok', 'caracter': 'Detective'}]","Dram,Komedi,Romantik"
An Evil Game a Love Game,21,7,12,7,"[{'name': 'Urassaya Sperbund', 'caracter': 'Fahlada/Nang Fah'}, {'name': 'Nadech Kugimiya', 'caracter': 'Saichon/Charles'}, {'name': 'Natwara Wongwasana', 'caracter': ""Doctor Wattana/P'""}, {'name': 'Thanawat Wattanaputi', 'caracter': ""Doctor Wattana/P'""}, {'name': 'Chotika Wongwilas', 'caracter': 'Plernta/Ta'}, {'name': 'Pidsanu Nimsakul', 'caracter': 'Sahat'}, {'name': 'Savitree Suttichanond', 'caracter': 'Mamee'}, {'name': 'Punyapon Dejsong', 'caracter': 'Yasa'}, {'name': 'Boromwuti Hiranyatithi', 'caracter': 'Veeradech/Vee'}, {'name': 'Peter Tuinstra', 'caracter': 'Michael'}]","Dram,Romantik,Tayland Dizileri"
The Greatest Love,16,8.3,38,30,"[{'name': 'Cha Seung-won', 'caracter': 'Dokko Jin'}, {'name': 'Yoo In-na', 'caracter': 'Kang Se-ri'}, {'name': 'Gong Hyo-jin', 'caracter': 'Gu Ae-jung'}, {'name': 'Yoon Kye-sang', 'caracter': 'Yoon Pil-joo'}, {'name': 'In Gyo-jin', 'caracter': ""Han Mi-na'""}, {'name': 'Bae Seul-ki', 'caracter': 'Han Mi-na'}, {'name': 'Ryu Hyo-Young', 'caracter': 'Ha Ru-Mi'}]","Komedi,Romantik"
Office Girls,40,7.2,3,3,"[{'name': 'Tia Li', 'caracter': None}, {'name': 'Qiu Ze', 'caracter': 'Qin Ziqi'}, {'name': 'Lang Tsu Yun', 'caracter': None}, {'name': 'Janel Tsai', 'caracter': None}, {'name': 'Guo Shu-Yao', 'caracter': None}, {'name': 'Ko Chia-Yen', 'caracter': None}]","Aile,Dram,Romantik,Tayvan Dizileri"
Lie to Me,16,8.3,56,44,"[{'name': 'Yoon Eun-hye', 'caracter': 'Gong Ah-jung'}, {'name': 'Kang Ji-hwan', 'caracter': 'Hyun Ki-joon'}, {'name': 'Sung Joon', 'caracter': 'Hyun Sang-hee'}, {'name': 'Jo Yoon-hee', 'caracter': 'Oh Yoon-joo'}, {'name': 'Hong Soo-hyun', 'caracter': 'Yoo So-ran'}, {'name': 'Ryu Seung-su', 'caracter': 'Chun Jae-bum'}, {'name': 'Kang Shin-il', 'caracter': 'Gong Joon-ho'}, {'name': 'Kwon Hae-hyo', 'caracter': 'Hwang Seok-bong'}, {'name': 'Park Ji-yoon', 'caracter': 'Manager Park'}, {'name': 'Kwon Yul', 'caracter': 'Park Hoon'}]","Komedi,Romantik"
The Princess Man,24,8.4,67,39,"[{'name': 'Moon Chae-won', 'caracter': 'Lee Se Ryung'}, {'name': 'Park Si-hoo', 'caracter': 'Kim Seung Yoo'}, {'name': 'Hong Soo-hyun', 'caracter': 'Princess Kyung Hye'}, {'name': 'Lee Soon-jae', 'caracter': 'Kim Jong Seo'}, {'name': 'Song Jong-ho', 'caracter': 'Shin Myeon'}, {'name': 'Kim Yeong-cheol', 'caracter': 'Prince Suyang'}, {'name': 'Uhm Hyo-sup', 'caracter': 'Yi Gae'}, {'name': 'Choi Moo-seong', 'caracter': 'Ham-gwi'}, {'name': 'Choi Han-Bit', 'caracter': 'Moo-yeong'}, {'name': 'Lee Min-woo-I', 'caracter': 'Jeong Jong'}]","Dram,Romantik,Tarih"
Heartstrings,15,9.1,74,55,"[{'name': 'Park Shin-hye', 'caracter': 'Lee Gyu-won'}, {'name': 'Jung Yong-hwa', 'caracter': 'Lee Shin'}, {'name': 'Song Chang-eui', 'caracter': 'Kim Suk-hyun'}, {'name': 'So Yi-hyun', 'caracter': 'Jung Yoon-soo'}, {'name': 'Kang Min-hyuk', 'caracter': 'Yeo Joon-hee'}, {'name': 'Kim Yoon-hye', 'caracter': 'Han Hee-joo'}, {'name': 'Lee Hyun-jin', 'caracter': 'Hyun Ki-young'}, {'name': 'Im Se-mi', 'caracter': 'Cha Bo-woon'}, {'name': 'Shin Goo', 'caracter': 'Lee Dong-jin'}, {'name': 'Moon Ga-young', 'caracter': 'Lee Jung-hyun'}]","Dram,Komedi"
Drunken to Love You,18,6.2,9,4,"[{'name': 'Rainie Yang', 'caracter': 'Xiao Ru Lin'}, {'name': 'Joseph Chang', 'caracter': 'Song Jie Xiu'}, {'name': 'Huang Hong Sheng', 'caracter': 'Di Shuo Huai'}, {'name': 'Tiffany Hsu', 'caracter': 'Ai Wei Tang'}, {'name': 'Kingone Wang', 'caracter': 'Ren Yi Xiang'}]","Dram,Romantik,Tayvan Dizileri"
Modern People,30,7.4,4,5,"[{'name': 'Hu Ge', 'caracter': None}, {'name': 'Chen Yihan', 'caracter': None}, {'name': 'Jiang Chao', 'caracter': None}, {'name': 'Chen Bolin', 'caracter': None}, {'name': 'Ma Sichun', 'caracter': None}, {'name': 'Zhang Tielin', 'caracter': None}, {'name': 'Li Yuan', 'caracter': None}, {'name': 'Yang Zitong', 'caracter': None}]","Gençlik,Romantik,Tayvan Dizileri"
Asuko March,9,8.1,17,20,"[{'name': 'Emi Takei', 'caracter': 'Yoshino Nao'}, {'name': 'Tori Matsuzaka', 'caracter': 'Yokoyama Aruto'}, {'name': 'Kento Kaku', 'caracter': 'Tamaki Makoto'}, {'name': 'Kento Nagayama', 'caracter': 'Takeuchi Kazuya'}, {'name': 'Keisuke Minami', 'caracter': 'Wajima Go'}, {'name': 'Takuya Ishida', 'caracter': 'Hirose Satomi'}, {'name': 'Yuki Furukawa', 'caracter': 'Kishi Tetsuro'}, {'name': 'Yûta Kanai', 'caracter': 'Murai Hajime'}, {'name': 'Yusuke Arai', 'caracter': 'Hirakawa Koji'}, {'name': 'Yosuke Nishijima', 'caracter': 'Watanabe Shinichiro'}]","Dram,Gençlik,Japon Dizileri,Romantik"
Jiu Keishichou Tokushuhan Sousakei,9,6.8,14,10,"[{'name': 'Meisa Kuroki', 'caracter': 'Isaki Motoko'}, {'name': 'Mikako Tabe', 'caracter': 'Kadokura Misaki'}, {'name': 'Yu Shirota', 'caracter': 'Amamiya Takashi'}, {'name': 'Yukiya Kitamura', 'caracter': 'Azuma Hiroki'}, {'name': 'L', 'caracter': 'Jiu'}, {'name': 'Kenichi Yajima', 'caracter': 'Nishiwaki'}, {'name': 'Toru Nomaguchi', 'caracter': 'Toyama'}, {'name': 'Kisuke Iida', 'caracter': 'Numaguchi'}, {'name': 'Ichirôta Miyakawa', 'caracter': 'Sasaki'}, {'name': 'Kenji Igari', 'caracter': 'Kuraji'}]","Dram,Gizem,Japon Dizileri,Suç"
Fashion King,20,7.9,26,14,"[{'name': 'Yoo Ah-in', 'caracter': 'Kang Young Gul'}, {'name': 'Shin Se-kyung', 'caracter': 'Lee Ga-young'}, {'name': 'Lee Je-hoon', 'caracter': 'Jung Jae Hyuk'}, {'name': 'Kwon Yu-ri', 'caracter': 'Choi Anna'}, {'name': 'Seo-won Cha', 'caracter': 'Miss Go'}, {'name': 'Yoon Ki-won', 'caracter': 'Secretary Kim'}, {'name': 'Chang Mi-hee', 'caracter': 'Madam Jo Soon Hee'}, {'name': 'Natalie Savage', 'caracter': 'Landlady'}, {'name': 'Lee Hye-sook', 'caracter': 'Yoon Hyang-sook'}, {'name': 'Ko Su-hee', 'caracter': ""Young Gul'""}]","Dram,Komedi,Romantik"
The Thieves,,8.5,61,35,"[{'name': 'Choi Dong-hoon', 'caracter': 'Yönetmen'}, {'name': 'Kim Yoon-seok', 'caracter': 'Macao Park'}, {'name': 'Kim Hye-soo', 'caracter': 'Pepsee'}, {'name': 'Lee Jung-jae', 'caracter': 'Popie'}, {'name': 'Jun Ji-hyun', 'caracter': 'Yenicall'}, {'name': 'Simon Yam', 'caracter': 'Chen'}, {'name': 'Angelica Lee', 'caracter': 'Julie'}, {'name': 'Kim Hae-sook', 'caracter': 'Chewing Gum'}, {'name': 'Oh Dal-su', 'caracter': 'Andrew'}, {'name': 'Kim Soo-Hyun', 'caracter': 'Zampano'}, {'name': 'Derek Tsang', 'caracter': 'Johnny'}]","Aksiyon,Suç"
To The Beautiful You,16,8.5,111,88,"[{'name': 'Choi Min-ho', 'caracter': 'Kang Tae-joon'}, {'name': 'Choi Jin-ri', 'caracter': 'Goo Jae-hee'}, {'name': 'Lee Hyun-woo', 'caracter': 'Cha Eun-gyeol'}, {'name': 'Kang Ha-neul', 'caracter': 'Min Hyeon-jae'}, {'name': 'Kim Ji-Won', 'caracter': 'Seol Han Na'}]","Gençlik,Komedi,Romantik"
Faith,24,9,143,104,"[{'name': 'Lee Min-ho', 'caracter': 'Choi Young'}, {'name': 'Kim Hee-seon', 'caracter': 'Yoo Eun-soo'}, {'name': 'Yu Oh-seong', 'caracter': 'Ki Chul'}, {'name': 'Sung Hoon', 'caracter': 'Chun Eum-ja'}, {'name': 'Ryu Deok-hwan', 'caracter': 'King Gongmin'}, {'name': 'Park Se-young', 'caracter': 'Queen Noguk'}, {'name': 'Lee Byung-joon', 'caracter': 'Jo Il-shin'}, {'name': 'Yoon Kyun-sang', 'caracter': 'Deok-man'}, {'name': 'Kwon Hae-sung', 'caracter': 'An Do-Chi'}, {'name': 'Kim Mi-Kyung', 'caracter': 'Court lady Choi'}]","Dram,Medikal,Romantik,Tarih"
Goodbye Dear Wife,20,6.8,14,6,"[{'name': 'Hong Soo-hyun', 'caracter': 'Kang Sun-ah'}, {'name': 'Danny Ahn', 'caracter': 'Gye Dong-hee'}, {'name': 'Ryu Si-won', 'caracter': 'Cha Seung-hyuk'}, {'name': 'Park Ji-yoon', 'caracter': 'Oh Hyang-gi'}, {'name': 'Kim Min-Soo', 'caracter': 'Kim Hyun-chul'}]","Komedi,Romantik"
"I Do, I Do",16,7.2,20,13,"[{'name': 'Jo Hee-Bong', 'caracter': 'Seol Bong-soo'}, {'name': 'Kim Sun-a', 'caracter': 'Hwang Ji-ahn'}, {'name': 'Park Gun-hyung', 'caracter': 'Jo Eun-sung'}, {'name': 'Lee Jang-woo', 'caracter': 'Park Tae-kang'}, {'name': 'Im Soo-hyang', 'caracter': 'Yeom Na-ri / Jang Na-ri'}, {'name': 'Park Young-gyu', 'caracter': 'Park Kwang-seok'}, {'name': 'Yoon Joo-sang', 'caracter': ""Ji-ahn'""}, {'name': 'Kim Soo-hyeon', 'caracter': 'Hwang Ji-ahn (young)'}]","Dram,Komedi,Romantik"
