category,name,rating,year,url
Macera,Stealer: The Treasure Keeper, 9,2023,https://asyafanatiklerim.com/dizi/stealer-the-treasure-keeper/
Macera,Emperors and Me, 7.8,2019,https://asyafanatiklerim.com/dizi/emperors-and-me/
Macera,Legend of Fu Yao, 8,2018,https://asyafanatiklerim.com/dizi/legend-of-fu-yao/
Macera,Martial Universe, 8.4,2018,https://asyafanatiklerim.com/dizi/martial-universe/
Macera,Coppelion, 6.8,2013,https://asyafanatiklerim.com/dizi/coppelion/
Macera,Akame ga Kill, 8.1,2014,https://asyafanatiklerim.com/dizi/akame-ga-kill/
Macera,Rakshasa Street, 7.6,2017,https://asyafanatiklerim.com/dizi/rakshasa-street/
Macera,The Merciless, 8.7,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/the-merciless/
Gençlik,Pyramid Game, 8.6,2024,https://asyafanatiklerim.com/dizi/pyramid-game/
Gençlik,Like Flowers in Sand, 8.2,2023,https://asyafanatiklerim.com/dizi/like-flowers-in-sand/
Gençlik,Snap and Spark, 4,2023,https://asyafanatiklerim.com/dizi/snap-and-spark/
Gençlik,Boyhood, 9,2023,https://asyafanatiklerim.com/dizi/boyhood/
Gençlik,Secret Playlist, 7,2023,https://asyafanatiklerim.com/dizi/secret-playlist/
Gençlik,High Cookie, 8.1,2023,https://asyafanatiklerim.com/dizi/high-cookie/
Gençlik,My Lovely Boxer, 8.5,2023,https://asyafanatiklerim.com/dizi/my-lovely-boxer/
Gençlik,All That We Loved, 8,2023,https://asyafanatiklerim.com/dizi/all-that-we-loved/
Gençlik,Oasis, 9,2023,https://asyafanatiklerim.com/dizi/oasis/
Gençlik,The Blood of Youth, 9.2,2022,https://asyafanatiklerim.com/dizi/the-blood-of-youth/
Gençlik,Weak Hero Class, 9.4,2022,https://asyafanatiklerim.com/dizi/weak-hero-class/
Gençlik,Seasons of Blossom, 8.7,2022,https://asyafanatiklerim.com/dizi/seasons-of-blossom/
Gençlik,Mimicus, 8.6,2022,https://asyafanatiklerim.com/dizi/mimicus/
Gençlik,Dear.M, 8.3,2022,https://asyafanatiklerim.com/dizi/dear-m-tr/
Gençlik,Semantic Error, 8.4,2022,https://asyafanatiklerim.com/dizi/semantic-error/
Gençlik,Twenty-Five Twenty-One, 9.3,2022,https://asyafanatiklerim.com/dizi/twenty-five-twenty-one-tr/
Gençlik,All of Us Are Dead, 9.3,2022,https://asyafanatiklerim.com/dizi/all-of-us-are-dead/
Gençlik,Rookie Cops, 9.1,2022,https://asyafanatiklerim.com/dizi/rookie-cops/
Gençlik,School 2021, 8.7,2021,https://asyafanatiklerim.com/dizi/school-2021-new/
Gençlik,Check Out the Event, 8.1,2021,https://asyafanatiklerim.com/dizi/check-out-the-event/
Macera,Strong Woman Do Bong-Soon, 9.4,2017,https://asyafanatiklerim.com/dizi/strong-woman-do-bong-soon-v17/
Aile,Not Others, 8.4,2023,https://asyafanatiklerim.com/dizi/not-others/
Aile,The Real Has Come, 8.7,2023,https://asyafanatiklerim.com/dizi/the-real-has-come/
Aile,Jinny’s Kitchen, 8.8,2023,https://asyafanatiklerim.com/dizi/jinnys-kitchen/
Aile,Red Balloon, 8.6,2022,https://asyafanatiklerim.com/dizi/red-balloon/
