name,rating,year,url
Sarayın İncisi, 8.3,2010,https://asyafanatiklerim.com/dizi/sarayin-incisi/
The Slave Hunters, 7.9,2010,https://asyafanatiklerim.com/dizi/the-slave-hunters/
Secret Garden, 8.9,2010,https://asyafanatiklerim.com/dizi/secret-garden-v5/
Pasta, 7.4,2010,https://asyafanatiklerim.com/dizi/pasta/
A Man Called God, 6.7,2010,https://asyafanatiklerim.com/dizi/a-man-called-god-tr/
P.S Man, 6.3,2010,https://asyafanatiklerim.com/dizi/p-s-man/
My Girlfriend is a Nine-Tailed Fox, 8.5,2010,https://asyafanatiklerim.com/dizi/my-girlfriend-is-a-nine-tailed-fox-nw/
Because of You, 7,2010,https://asyafanatiklerim.com/dizi/because-of-you/
A Taiwanese Tale of Two Cities, 6.9,2018,https://asyafanatiklerim.com/dizi/a-taiwanese-tale-of-two-cities/
Bloody Romance, 8.6,2018,https://asyafanatiklerim.com/dizi/bloody-romance-tr/
Your Imagination Becomes Reality, 8.1,2018,https://asyafanatiklerim.com/dizi/your-imagination-becomes-reality/
A Teen, 8.9,2018,https://asyafanatiklerim.com/dizi/a-teen/
Taste of Cat, 7.5,2018,https://asyafanatiklerim.com/dizi/taste-of-cat/
Wish Woosh, 7.1,2018,https://asyafanatiklerim.com/dizi/wish-woosh/
Legend of Fu Yao, 8,2018,https://asyafanatiklerim.com/dizi/legend-of-fu-yao/
My Girl, 7.1,2018,https://asyafanatiklerim.com/dizi/my-girl/
Kareshi wo Ron de Kaimashita, 7,2018,https://asyafanatiklerim.com/dizi/kareshi-wo-ron-de-kaimashita/
Introverted Boss, 8.5,2017,https://asyafanatiklerim.com/dizi/introverted-boss/
Voice 4, 9,2017,https://asyafanatiklerim.com/dizi/voice-4/
Hyori’s Homestay, 6.5,2017,https://asyafanatiklerim.com/dizi/hyoris-homestay-tr/
Avengers Social Club, 8.8,2017,https://asyafanatiklerim.com/dizi/avengers-social-club/
Someone Noticeable, 6.9,2017,https://asyafanatiklerim.com/dizi/someone-noticeable/
Girls Generation 1979, 7.5,2017,https://asyafanatiklerim.com/dizi/girls-generation-1979/
Bir Doksan (One Ninety), 7.8,2017,https://asyafanatiklerim.com/dizi/bir-doksan-one-ninety/
I Am, 7.5,2017,https://asyafanatiklerim.com/dizi/i-am/
Final Fantasy XIV Dad of Light, 6.7,2017,https://asyafanatiklerim.com/dizi/final-fantasy-xiv-dad-of-light/
Love and Fortune, 6.6,2018,https://asyafanatiklerim.com/dizi/love-and-fortune/
Switched, 7.5,2018,https://asyafanatiklerim.com/dizi/switched/
Youngju, 7.4,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/youngju/
The Witch Part 1. The Subversion, 9.3,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/the-witch-part-1-the-subversion/
The Soul Mate, 8.4,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/the-soul-mate/
The Drug King, 6.9,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/the-drug-king/
Swing Kids, 9.3,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/swing-kids/
Student A, 8.9,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/student-a/
Intimate Strangers, 7.1,"<span class=""flag"" style=""background-image: url(https://asyafanatiklerim.com/wp-content/themes/Dootv441/assets/img/flags/tr.png)"">",https://asyafanatiklerim.com/film/intimate-strangers/
Ashes of Love, 8.1,2018,https://asyafanatiklerim.com/dizi/ashes-of-love/
Martial Universe, 8.4,2018,https://asyafanatiklerim.com/dizi/martial-universe/
The Universe’s Star, 8.3,2017,https://asyafanatiklerim.com/dizi/the-universes-star/
Romance Full of Life, 8.1,2017,https://asyafanatiklerim.com/dizi/romance-full-of-life/
The Emperor Owner of the Mask, 8.9,2017,https://asyafanatiklerim.com/dizi/the-emperor-owner-of-the-mask/
Nothing to Lose, 8.2,2017,https://asyafanatiklerim.com/dizi/nothing-to-lose/
Money Flower, 7.9,2017,https://asyafanatiklerim.com/dizi/money-flower-tr/
Rebel: Thief Who Stole the People, 8,2017,https://asyafanatiklerim.com/dizi/rebel-thief-who-stole-the-people/
Youjo Senki, 6.7,2017,https://asyafanatiklerim.com/dizi/youjo-senki/
Eromanga Sensei, 7.6,2017,https://asyafanatiklerim.com/dizi/eromanga-sensei/
Gin no Guardian, 6.5,2017,https://asyafanatiklerim.com/dizi/gin-no-guardian/
Castlevania, 7.1,2017,https://asyafanatiklerim.com/dizi/castlevania/
Ballroom e Youkoso, 6.5,2017,https://asyafanatiklerim.com/dizi/ballroom-e-youkoso/
Ho-Goo’s Love, 7.3,2015,https://asyafanatiklerim.com/dizi/ho-goos-love/
Ex-Girlfriend Club, 7.6,2015,https://asyafanatiklerim.com/dizi/ex-girlfriend-club/
High End Crush, 8.7,2015,https://asyafanatiklerim.com/dizi/high-end-crush/
Last, 7.9,2015,https://asyafanatiklerim.com/dizi/last/
9 Seconds Eternal Time, 7.6,2015,https://asyafanatiklerim.com/dizi/9-seconds-eternal-time/
Romance Blue, 7.7,2015,https://asyafanatiklerim.com/dizi/romance-blue/
My Beautiful Bride, 6.3,2015,https://asyafanatiklerim.com/dizi/my-beautiful-bride/
The Time We Were Not In Love, 7.9,2015,https://asyafanatiklerim.com/dizi/the-time-we-were-not-in-love-tr/
Sweet Family, 6.4,2015,https://asyafanatiklerim.com/dizi/sweet-family/
Yong Pal, 8.5,2015,https://asyafanatiklerim.com/dizi/yong-pal-tr1/
The Village Achiara’s, 8.5,2015,https://asyafanatiklerim.com/dizi/the-village-achiaras/
Producer, 8.3,2015,https://asyafanatiklerim.com/dizi/producer/
Scholar Who Walks the Night, 8.8,2015,https://asyafanatiklerim.com/dizi/scholar-who-walks-the-night/
Triage X, 5.9,2015,https://asyafanatiklerim.com/dizi/triage-x/
Kantai Collection, 6.4,2015,https://asyafanatiklerim.com/dizi/kantai-collection/
Rokka no Yuusha, 6.2,2015,https://asyafanatiklerim.com/dizi/rokka-no-yuusha/
Gakkou Gurashi, 7.8,2015,https://asyafanatiklerim.com/dizi/gakkou-gurashi/
DanMachi, 6.6,2015,https://asyafanatiklerim.com/dizi/danmachi/
Okitegami Kyoko no Biboroku, 7.2,2015,https://asyafanatiklerim.com/dizi/okitegami-kyoko-no-biboroku/
Mrs. Cop, 7.2,2015,https://asyafanatiklerim.com/dizi/mrs-cop/
The Three Musketeers, 7.5,2014,https://asyafanatiklerim.com/dizi/the-three-musketeers/
Longing for Spring, 8.4,2014,https://asyafanatiklerim.com/dizi/longing-for-spring/
Maids, 7.6,2014,https://asyafanatiklerim.com/dizi/maids-tr1/
Golden Cross, 7.1,2014,https://asyafanatiklerim.com/dizi/golden-cross/
Her Lovely Heels, 7.8,2014,https://asyafanatiklerim.com/dizi/her-lovely-heels/
Healer, 9.4,2014,https://asyafanatiklerim.com/dizi/healer/
A New Leaf, 7.5,2014,https://asyafanatiklerim.com/dizi/a-new-leaf/
Witch’s Romance, 7.7,2014,https://asyafanatiklerim.com/dizi/witchs-romance/
Alice no Toge, 6.2,2014,https://asyafanatiklerim.com/dizi/alice-no-toge/
Birth of a Beauty, 7.9,2014,https://asyafanatiklerim.com/dizi/birth-of-a-beauty/
Cheo Yong, 6.8,2014,https://asyafanatiklerim.com/dizi/cheo-yong/
Mimi, 6.7,2014,https://asyafanatiklerim.com/dizi/mimi/
My Lovely Girl, 7.9,2014,https://asyafanatiklerim.com/dizi/my-lovely-girl/
Surplus Princess, 8.1,2014,https://asyafanatiklerim.com/dizi/surplus-princess-tr/
Trot Lovers, 7.7,2014,https://asyafanatiklerim.com/dizi/trot-lovers/
The Night Watchman, 7.4,2014,https://asyafanatiklerim.com/dizi/the-night-watchman-tr/
Cunning Single Lady, 8.3,2014,https://asyafanatiklerim.com/dizi/cunning-single-lady/
Zankyou No Terror, 7.2,2014,https://asyafanatiklerim.com/dizi/zankyou-no-terror/
ZX ignition, 6.3,2014,https://asyafanatiklerim.com/dizi/zx-ignition/
Kiseijuu: Sei no Kakuritsu, 7.5,2014,https://asyafanatiklerim.com/dizi/kiseijuu-sei-no-kakuritsu/
Who Are You, 8.2,2013,https://asyafanatiklerim.com/dizi/who-are-you-tr/
Good Doctor, 8.6,2013,https://asyafanatiklerim.com/dizi/good-doctor/
